Player,Pos,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Yann Sommer,GK,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,23.0,2.0
Alessandro Bastoni,DF,71.0,42,46.0,19.0,6.0,31.0,47.0,66.0,16.0,45.0,20.0,25.0,36,102,90.0,5.0
Nicolò Barella,MF,65.0,48,27.0,26.0,12.0,30.0,78.0,38.5,48.0,38.0,3.0,35.0,19,84,18.0,2.0
Lautaro Martínez,FW,39.0,21,14.0,13.0,12.0,15.0,35.0,42.9,20.0,31.0,6.0,25.0,17,54,26.0,0.0
Henrikh Mkhitaryan,MF,72.0,42,33.0,23.0,16.0,38.0,79.0,48.1,41.0,36.0,7.0,29.0,28,96,61.0,0.0
Marcus Thuram,FW,23.0,14,10.0,7.0,6.0,4.0,19.0,21.1,15.0,21.0,3.0,18.0,6,29,25.0,1.0
Denzel Dumfries,"DF,FW",45.0,35,27.0,12.0,6.0,27.0,45.0,60.0,18.0,42.0,14.0,28.0,13,57,44.0,1.0
Hakan Çalhanoğlu,MF,50.0,35,12.0,25.0,13.0,22.0,42.0,52.4,20.0,27.0,11.0,16.0,43,89,34.0,0.0
Federico Dimarco,"DF,FW",35.0,26,16.0,14.0,5.0,18.0,38.0,47.4,20.0,27.0,4.0,23.0,21,55,45.0,2.0
Yann Aurel Bisseck,DF,23.0,29,16.0,4.0,3.0,13.0,19.0,68.4,6.0,33.0,18.0,15.0,32,51,103.0,1.0
Stefan de Vrij,DF,20.0,17,15.0,4.0,1.0,11.0,14.0,78.6,3.0,29.0,18.0,11.0,33,48,127.0,0.0
Benjamin Pavard,DF,39.0,25,19.0,14.0,6.0,23.0,33.0,69.7,10.0,26.0,19.0,7.0,29,68,104.0,1.0
Matteo Darmian,DF,35.0,21,20.0,11.0,4.0,18.0,31.0,58.1,13.0,23.0,10.0,13.0,17,51,62.0,0.0
Carlos Augusto,DF,37.0,22,17.0,12.0,8.0,18.0,30.0,60.0,12.0,30.0,12.0,18.0,13,49,70.0,0.0
Francesco Acerbi,DF,29.0,23,22.0,7.0,0.0,14.0,22.0,63.6,8.0,32.0,22.0,10.0,36,65,128.0,0.0
Davide Frattesi,MF,25.0,14,9.0,14.0,2.0,14.0,25.0,56.0,11.0,17.0,6.0,11.0,12,37,21.0,1.0
Mehdi Taremi,FW,18.0,9,7.0,6.0,5.0,7.0,19.0,36.8,12.0,17.0,2.0,15.0,3,20,24.0,0.0
Piotr Zieliński,MF,22.0,19,10.0,11.0,1.0,9.0,21.0,42.9,12.0,14.0,5.0,9.0,9,31,15.0,3.0
Kristjan Asllani,MF,17.0,9,11.0,5.0,1.0,7.0,21.0,33.3,14.0,13.0,4.0,9.0,10,27,20.0,3.0
Marko Arnautović,FW,8.0,9,1.0,4.0,3.0,4.0,8.0,50.0,4.0,4.0,0.0,4.0,1,9,1.0,0.0
Josep Martinez,GK,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0
Joaquín Correa,"FW,MF",10.0,6,4.0,6.0,0.0,3.0,10.0,30.0,7.0,2.0,0.0,2.0,0,10,6.0,0.0
Nicola Zalewski,MF,5.0,5,3.0,1.0,1.0,2.0,4.0,50.0,2.0,4.0,1.0,3.0,2,7,5.0,1.0
Tajon Buchanan,"DF,FW",3.0,1,2.0,0.0,1.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0,3,3.0,0.0
Tomás Palacios,DF,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1,0.0,0.0
Giacomo De Pieri,FW,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0
Thomas Berenbruch,MF,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0
Matteo Cocchi,DF,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0
Mike Aidoo,DF,,0,,,,,,,,,,,0,0,,
