Date,Comp,Round,Venue,Result,GF,GA,Opponent
2024-08-17,Serie A,Matchweek 1,Away,D,2.0,2.0,Genoa
2024-08-24,Serie A,Matchweek 2,Home,W,2.0,0.0,Lecce
2024-08-30,Serie A,Matchweek 3,Home,W,4.0,0.0,Atalanta
2024-09-15,Serie A,Matchweek 4,Away,D,1.0,1.0,Monza
2024-09-18,Champions Lg,League phase,Away,D,0.0,0.0,eng Manchester City
2024-09-22,Serie A,Matchweek 5,Home,L,1.0,2.0,Milan
2024-09-28,Serie A,Matchweek 6,Away,W,3.0,2.0,Udinese
2024-10-01,Champions Lg,League phase,Home,W,4.0,0.0,rs Red Star
2024-10-05,Serie A,Matchweek 7,Home,W,3.0,2.0,Torino
2024-10-20,Serie A,Matchweek 8,Away,W,1.0,0.0,Roma
2024-10-23,Champions Lg,League phase,Away,W,1.0,0.0,ch Young Boys
2024-10-27,Serie A,Matchweek 9,Home,D,4.0,4.0,Juventus
2024-10-30,Serie A,Matchweek 10,Away,W,3.0,0.0,Empoli
2024-11-03,Serie A,Matchweek 11,Home,W,1.0,0.0,Venezia
2024-11-06,Champions Lg,League phase,Home,W,1.0,0.0,eng Arsenal
2024-11-10,Serie A,Matchweek 12,Home,D,1.0,1.0,Napoli
2024-11-23,Serie A,Matchweek 13,Away,W,5.0,0.0,Hellas Verona
2024-11-26,Champions Lg,League phase,Home,W,1.0,0.0,de RB Leipzig
2024-12-06,Serie A,Matchweek 15,Home,W,3.0,1.0,Parma
2024-12-10,Champions Lg,League phase,Away,L,0.0,1.0,de Leverkusen
2024-12-16,Serie A,Matchweek 16,Away,W,6.0,0.0,Lazio
2024-12-19,Coppa Italia,Round of 16,Home,W,2.0,0.0,Udinese
2024-12-23,Serie A,Matchweek 17,Home,W,2.0,0.0,Como
2024-12-28,Serie A,Matchweek 18,Away,W,3.0,0.0,Cagliari
2025-01-02,Supercoppa,Semi-finals,Neutral,W,2.0,0.0,Atalanta
2025-01-06,Supercoppa,Final,Neutral,L,2.0,3.0,Milan
2025-01-12,Serie A,Matchweek 20,Away,W,1.0,0.0,Venezia
2025-01-15,Serie A,Matchweek 19,Home,D,2.0,2.0,Bologna
2025-01-19,Serie A,Matchweek 21,Home,W,3.0,1.0,Empoli
2025-01-22,Champions Lg,League phase,Away,W,1.0,0.0,cz Sparta Prague
2025-01-26,Serie A,Matchweek 22,Away,W,4.0,0.0,Lecce
2025-01-29,Champions Lg,League phase,Home,W,3.0,0.0,fr Monaco
2025-02-02,Serie A,Matchweek 23,Away,D,1.0,1.0,Milan
2025-02-06,Serie A,Matchweek 14,Away,L,0.0,3.0,Fiorentina
2025-02-10,Serie A,Matchweek 24,Home,W,2.0,1.0,Fiorentina
2025-02-16,Serie A,Matchweek 25,Away,L,0.0,1.0,Juventus
2025-02-22,Serie A,Matchweek 26,Home,W,1.0,0.0,Genoa
2025-02-25,Coppa Italia,Quarter-finals,Home,W,2.0,0.0,Lazio
2025-03-01,Serie A,Matchweek 27,Away,D,1.0,1.0,Napoli
2025-03-05,Champions Lg,Round of 16,Away,W,2.0,0.0,nl Feyenoord
2025-03-08,Serie A,Matchweek 28,Home,W,3.0,2.0,Monza
2025-03-11,Champions Lg,Round of 16,Home,W,2.0,1.0,nl Feyenoord
2025-03-16,Serie A,Matchweek 29,Away,W,2.0,0.0,Atalanta
2025-03-30,Serie A,Matchweek 30,Home,W,2.0,1.0,Udinese
2025-04-02,Coppa Italia,Semi-finals,Away,D,1.0,1.0,Milan
2025-04-05,Serie A,Matchweek 31,Away,D,2.0,2.0,Parma
2025-04-08,Champions Lg,Quarter-finals,Away,W,2.0,1.0,de Bayern Munich
2025-04-12,Serie A,Matchweek 32,Home,W,3.0,1.0,Cagliari
2025-04-16,Champions Lg,Quarter-finals,Home,D,2.0,2.0,de Bayern Munich
2025-04-20,Serie A,Matchweek 33,Away,L,0.0,1.0,Bologna
2025-04-23,Coppa Italia,Semi-finals,Home,L,0.0,3.0,Milan
2025-04-27,Serie A,Matchweek 34,Home,L,0.0,1.0,Roma
2025-04-30,Champions Lg,Semi-finals,Away,D,3.0,3.0,es Barcelona
2025-05-03,Serie A,Matchweek 35,Home,W,1.0,0.0,Hellas Verona
2025-05-06,Champions Lg,Semi-finals,Home,W,4.0,3.0,es Barcelona
2025-05-11,Serie A,Matchweek 36,Away,W,2.0,0.0,Torino
2025-05-18,Serie A,Matchweek 37,Home,D,2.0,2.0,Lazio
2025-05-23,Serie A,Matchweek 38,Away,,,,Como
2025-05-31,Champions Lg,Final,Away,,,,fr Paris S-G
