Player,Pos,Gls,Sh,SoT,SoT%,Dist,FK,PK,PKatt
Yann Sommer,GK,0,0,0,,,0.0,0,0
Alessandro Bastoni,DF,1,20,3,15.0,13.6,0.0,0,0
Nicolò Barella,MF,3,55,12,21.8,24.0,1.0,0,0
Lautaro Martínez,FW,22,141,57,40.4,14.0,0.0,1,1
Henrikh Mkhitaryan,MF,1,42,7,16.7,21.0,0.0,0,0
Marcus Thuram,FW,18,87,34,39.1,13.0,0.0,0,0
Denzel Dumfries,"DF,FW",11,53,25,47.2,10.5,0.0,0,0
Hakan Çalhanoğlu,MF,11,64,16,25.0,28.0,8.0,7,8
Federico Dimarco,"DF,FW",4,73,25,34.2,19.9,9.0,0,0
Yann Aurel Bisseck,DF,3,30,7,23.3,11.2,0.0,0,0
Stefan de Vrij,DF,2,17,3,17.6,11.9,0.0,0,0
Benjamin Pavard,DF,1,13,3,23.1,13.1,0.0,0,0
Matteo Darmian,DF,3,17,4,23.5,16.0,0.0,0,0
Carlos Augusto,DF,3,29,9,31.0,10.9,0.0,0,0
Francesco Acerbi,DF,1,9,3,33.3,10.9,0.0,0,0
Davide Frattesi,MF,7,43,12,27.9,13.7,0.0,0,0
Mehdi Taremi,FW,3,24,8,33.3,13.7,0.0,2,2
Piotr Zieliński,MF,2,26,4,15.4,22.8,0.0,2,3
Kristjan Asllani,MF,3,19,5,26.3,25.1,3.0,2,2
Marko Arnautović,FW,7,23,10,43.5,9.5,0.0,0,1
Josep Martinez,GK,0,0,0,,,0.0,0,0
Joaquín Correa,"FW,MF",1,15,6,40.0,13.8,0.0,0,0
Nicola Zalewski,MF,1,4,4,100.0,20.4,0.0,0,0
Tajon Buchanan,"DF,FW",0,0,0,,,0.0,0,0
Tomás Palacios,DF,0,0,0,,,0.0,0,0
Giacomo De Pieri,FW,0,1,0,0.0,10.4,0.0,0,0
Thomas Berenbruch,MF,0,0,0,,,0.0,0,0
Matteo Cocchi,DF,0,0,0,,,0.0,0,0
Mike Aidoo,DF,0,0,0,,,,0,0
