Player,Nation,Pos,Age,MP,Min,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PrgC,PrgP,PrgR
Yann Sommer,ch SUI,GK,36-157,47,4260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Alessandro Bastoni,it ITA,DF,26-040,52,3812.0,1.0,6.0,7.0,1.0,0.0,0.0,10.0,1.0,77.0,207.0,106.0
Nicolò Barella,it ITA,MF,28-105,49,3676.0,3.0,8.0,11.0,3.0,0.0,0.0,7.0,0.0,82.0,293.0,165.0
Lautaro Martínez,ar ARG,FW,27-274,48,3625.0,22.0,3.0,25.0,21.0,1.0,1.0,3.0,0.0,43.0,89.0,238.0
Henrikh Mkhitaryan,am ARM,MF,36-122,48,3465.0,1.0,4.0,5.0,1.0,0.0,0.0,8.0,0.0,97.0,255.0,119.0
Marcus Thuram,fr FRA,FW,27-290,47,3284.0,18.0,5.0,23.0,18.0,0.0,0.0,2.0,0.0,88.0,65.0,217.0
Denzel Dumfries,nl NED,"DF,FW",29-035,43,3080.0,11.0,5.0,16.0,11.0,0.0,0.0,8.0,0.0,76.0,70.0,239.0
Hakan Çalhanoğlu,tr TUR,MF,31-104,45,2931.0,11.0,7.0,18.0,4.0,7.0,8.0,8.0,0.0,57.0,197.0,53.0
Federico Dimarco,it ITA,"DF,FW",27-194,45,2888.0,4.0,8.0,12.0,4.0,0.0,0.0,4.0,0.0,59.0,98.0,274.0
Yann Aurel Bisseck,de GER,DF,24-175,44,2786.0,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,40.0,106.0,56.0
Stefan de Vrij,nl NED,DF,33-107,39,2754.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,12.0,105.0,5.0
Benjamin Pavard,fr FRA,DF,29-056,36,2560.0,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,24.0,129.0,53.0
Matteo Darmian,it ITA,DF,35-172,43,2519.0,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,16.0,50.0,112.0
Carlos Augusto,br BRA,DF,26-136,44,2432.0,3.0,4.0,7.0,3.0,0.0,0.0,4.0,0.0,43.0,88.0,116.0
Francesco Acerbi,it ITA,DF,37-102,31,2371.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,19.0,68.0,25.0
Davide Frattesi,it ITA,MF,25-213,47,2007.0,7.0,1.0,8.0,7.0,0.0,0.0,2.0,0.0,33.0,43.0,63.0
Mehdi Taremi,ir IRN,FW,32-309,42,1825.0,3.0,6.0,9.0,1.0,2.0,2.0,1.0,0.0,21.0,45.0,69.0
Piotr Zieliński,pl POL,MF,31-003,39,1774.0,2.0,3.0,5.0,0.0,2.0,3.0,0.0,0.0,42.0,95.0,33.0
Kristjan Asllani,al ALB,MF,23-075,33,1489.0,3.0,2.0,5.0,1.0,2.0,2.0,9.0,0.0,8.0,71.0,22.0
Marko Arnautović,at AUT,FW,36-034,27,900.0,7.0,2.0,9.0,7.0,0.0,1.0,3.0,0.0,5.0,22.0,76.0
Josep Martinez,es ESP,GK,26-361,10,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joaquín Correa,ar ARG,"FW,MF",30-283,21,765.0,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,17.0,36.0,42.0
Nicola Zalewski,pl POL,MF,23-120,13,427.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,25.0,16.0,44.0
Tajon Buchanan,ca CAN,"DF,FW",26-104,7,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,8.0
Tomás Palacios,ar ARG,DF,22-025,3,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Giacomo De Pieri,it ITA,FW,18-145,1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Thomas Berenbruch,it ITA,MF,19-357,2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Matteo Cocchi,it ITA,DF,18-111,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Aidoo,it ITA,DF,19-358,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Raffaele Di Gennaro,it ITA,GK,31-232,0,,,,,,,,,,,,
Matteo Motta,it ITA,DF,20-102,0,,,,,,,,,,,,
Mattia Zanchetta,it ITA,MF,19-066,0,,,,,,,,,,,,
Gabriele Re Cecconi,it ITA,DF,19-028,0,,,,,,,,,,,,
Daniele Quieto,ve VEN,MF,19-213,0,,,,,,,,,,,,
Alessandro Fontanarosa,it ITA,DF,22-105,0,,,,,,,,,,,,
Christos Alexiou,gr GRE,DF,19-327,0,,,,,,,,,,,,
Alessandro Calligaris,it ITA,GK,20-077,0,,,,,,,,,,,,
Luka Topalović,si SVN,MF,19-089,0,,,,,,,,,,,,
Matteo Spinaccè,it ITA,FW,18-344,0,,,,,,,,,,,,
Alain Taho,al ALB,GK,18-023,0,,,,,,,,,,,,
Matteo Lavelli,it ITA,FW,18-166,0,,,,,,,,,,,,
