Player,Pos,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Willian Pacho,DF,82,56,52,29,1,32,46,69.6,14,54,33,21,64,141,159,1
Achraf Hakimi,DF,83,58,38,30,15,45,102,44.1,57,47,2,45,48,130,43,3
Vitinha,MF,58,34,16,35,7,33,66,50.0,33,35,9,26,37,92,44,4
João Neves,MF,120,77,40,48,32,45,76,59.2,31,49,14,35,35,154,47,1
Bradley Barcola,FW,40,26,13,15,12,14,51,27.5,37,45,3,42,32,69,18,0
Gianluigi Donnarumma,GK,1,1,1,0,0,1,2,50.0,1,0,0,0,2,3,24,1
Nuno Mendes,DF,75,51,45,23,7,49,83,59.0,34,38,11,27,49,116,86,4
Marquinhos,DF,58,43,25,25,8,42,56,75.0,14,50,32,18,18,75,153,4
Fabián Ruiz Peña,MF,65,44,23,28,14,38,76,50.0,38,36,5,31,31,93,47,2
Ousmane Dembélé,FW,18,8,2,11,5,8,24,33.3,16,6,0,6,11,29,5,3
Warren Zaïre-Emery,MF,64,32,23,25,16,28,54,51.9,26,40,6,34,30,90,27,2
Désiré Doué,FW,67,51,23,26,18,33,68,48.5,35,36,1,35,19,85,11,0
Lucas Beraldo,DF,40,37,31,9,0,24,38,63.2,14,17,9,8,24,63,65,4
Lee Kang-in,"FW,MF",34,21,10,17,7,24,43,55.8,19,17,2,15,5,38,4,1
Khvicha Kvaratskhelia,FW,35,26,12,18,5,18,35,51.4,17,12,3,9,6,41,12,0
Gonçalo Ramos,FW,12,8,5,5,2,4,8,50.0,4,6,1,5,1,13,7,0
Matvei Safonov,GK,0,0,0,0,0,0,0,,0,1,0,1,1,1,5,1
Lucas Hernández,DF,26,21,14,10,2,16,25,64.0,9,15,6,9,11,34,44,2
Senny Mayulu,MF,26,17,9,14,3,8,14,57.1,6,8,3,5,8,31,12,0
Marco Asensio,FW,5,4,2,3,0,0,6,0.0,6,3,0,3,1,6,2,0
Randal Kolo Muani,FW,8,7,1,4,3,1,5,20.0,4,3,0,3,1,9,5,0
Milan Škriniar,"DF,MF",7,5,3,4,0,3,3,100.0,0,7,6,1,3,10,16,0
Ibrahim Mbaye,FW,4,2,1,2,1,3,8,37.5,5,2,0,2,2,6,2,0
Yoram Zague,DF,8,7,3,1,4,6,8,75.0,2,3,0,3,2,10,2,0
Axel Tapé,MF,3,3,1,2,0,2,2,100.0,0,2,2,0,1,4,5,0
Arnau Tenas,GK,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Presnel Kimpembe,DF,2,2,2,0,0,1,1,100.0,0,3,2,1,1,3,2,0
Noham Kamara,DF,1,1,0,1,0,0,0,,0,1,1,0,1,2,1,0
