Date,Comp,Round,Venue,Result,GF,GA,Opponent
2024-08-16,Ligue 1,Matchweek 1,Away,W,4,1,Le Havre
2024-08-23,Ligue 1,Matchweek 2,Home,W,6,0,Montpellier
2024-09-01,Ligue 1,Matchweek 3,Away,W,3,1,Lille
2024-09-14,Ligue 1,Matchweek 4,Home,W,3,1,Brest
2024-09-18,Champions Lg,League phase,Home,W,1,0,es Girona
2024-09-21,Ligue 1,Matchweek 5,Away,D,1,1,Reims
2024-09-27,Ligue 1,Matchweek 6,Home,W,3,1,Rennes
2024-10-01,Champions Lg,League phase,Away,L,0,2,eng Arsenal
2024-10-06,Ligue 1,Matchweek 7,Away,D,1,1,Nice
2024-10-19,Ligue 1,Matchweek 8,Home,W,4,2,Strasbourg
2024-10-22,Champions Lg,League phase,Home,D,1,1,nl PSV Eindhoven
2024-10-27,Ligue 1,Matchweek 9,Away,W,3,0,Marseille
2024-11-02,Ligue 1,Matchweek 10,Home,W,1,0,Lens
2024-11-06,Champions Lg,League phase,Home,L,1,2,es Atlético Madrid
2024-11-09,Ligue 1,Matchweek 11,Away,W,4,2,Angers
2024-11-22,Ligue 1,Matchweek 12,Home,W,3,0,Toulouse
2024-11-26,Champions Lg,League phase,Away,L,0,1,de Bayern Munich
2024-11-30,Ligue 1,Matchweek 13,Home,D,1,1,Nantes
2024-12-06,Ligue 1,Matchweek 14,Away,D,0,0,Auxerre
2024-12-10,Champions Lg,League phase,Away,W,3,0,at RB Salzburg
2024-12-15,Ligue 1,Matchweek 15,Home,W,3,1,Lyon
2024-12-18,Ligue 1,Matchweek 16,Away,W,4,2,Monaco
2024-12-22,Coupe de France,Round of 64,Away,D,1 (4),1 (3),Lens
2025-01-05,Trophée des Champions,Trophée des Champions,Neutral,W,1,0,Monaco
2025-01-12,Ligue 1,Matchweek 17,Home,W,2,1,Saint-Étienne
2025-01-15,Coupe de France,Round of 32,Away,W,4,2,FC Espaly
2025-01-18,Ligue 1,Matchweek 18,Away,W,2,1,Lens
2025-01-22,Champions Lg,League phase,Home,W,4,2,eng Manchester City
2025-01-25,Ligue 1,Matchweek 19,Home,D,1,1,Reims
2025-01-29,Champions Lg,League phase,Away,W,4,1,de Stuttgart
2025-02-01,Ligue 1,Matchweek 20,Away,W,5,2,Brest
2025-02-04,Coupe de France,Round of 16,Away,W,2,0,Le Mans
2025-02-07,Ligue 1,Matchweek 21,Home,W,4,1,Monaco
2025-02-11,Champions Lg,Knockout phase play-offs,Away,W,3,0,fr Brest
2025-02-15,Ligue 1,Matchweek 22,Away,W,1,0,Toulouse
2025-02-19,Champions Lg,Knockout phase play-offs,Home,W,7,0,fr Brest
2025-02-23,Ligue 1,Matchweek 23,Away,W,3,2,Lyon
2025-02-26,Coupe de France,Quarter-finals,Away,W,7,0,Stade Briochin
2025-03-01,Ligue 1,Matchweek 24,Home,W,4,1,Lille
2025-03-05,Champions Lg,Round of 16,Home,L,0,1,eng Liverpool
2025-03-08,Ligue 1,Matchweek 25,Away,W,4,1,Rennes
2025-03-11,Champions Lg,Round of 16,Away,W,1 (4),0 (1),eng Liverpool
2025-03-16,Ligue 1,Matchweek 26,Home,W,3,1,Marseille
2025-03-29,Ligue 1,Matchweek 27,Away,W,6,1,Saint-Étienne
2025-04-01,Coupe de France,Semi-finals,Away,W,4,2,Dunkerque
2025-04-05,Ligue 1,Matchweek 28,Home,W,1,0,Angers
2025-04-09,Champions Lg,Quarter-finals,Home,W,3,1,eng Aston Villa
2025-04-15,Champions Lg,Quarter-finals,Away,L,2,3,eng Aston Villa
2025-04-19,Ligue 1,Matchweek 30,Home,W,2,1,Le Havre
2025-04-22,Ligue 1,Matchweek 29,Away,D,1,1,Nantes
2025-04-25,Ligue 1,Matchweek 31,Home,L,1,3,Nice
2025-04-29,Champions Lg,Semi-finals,Away,W,1,0,eng Arsenal
2025-05-03,Ligue 1,Matchweek 32,Away,L,1,2,Strasbourg
2025-05-07,Champions Lg,Semi-finals,Home,W,2,1,eng Arsenal
2025-05-10,Ligue 1,Matchweek 33,Away,W,4,1,Montpellier
2025-05-17,Ligue 1,Matchweek 34,Home,W,3,1,Auxerre
2025-05-24,Coupe de France,Final,Home,,,,Reims
2025-05-31,Champions Lg,Final,Home,,,,it Inter
