Player,Pos,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%
Willian Pacho,DF,2903,3092,93.9,52401,14877,917,962,95.3,1802,1851,97.4,148,216,68.5
Achraf Hakimi,DF,3013,3432,87.8,41427,11863,1858,1996,93.1,930,1046,88.9,100,158,63.3
Vitinha,MF,3470,3730,93.0,61517,13689,1576,1643,95.9,1414,1481,95.5,392,460,85.2
João Neves,MF,2386,2614,91.3,38160,8305,1246,1327,93.9,921,985,93.5,157,196,80.1
Bradley Barcola,FW,1063,1300,81.8,14380,3321,696,779,89.3,313,384,81.5,25,46,54.3
Gianluigi Donnarumma,GK,873,1044,83.6,19466,11344,199,199,100.0,501,506,99.0,169,333,50.8
Nuno Mendes,DF,2195,2574,85.3,38885,11104,951,1041,91.4,1035,1156,89.5,178,271,65.7
Marquinhos,DF,2794,2954,94.6,54465,16494,820,852,96.2,1666,1703,97.8,282,355,79.4
Fabián Ruiz Peña,MF,2018,2259,89.3,32454,8389,1034,1115,92.7,779,847,92.0,138,176,78.4
Ousmane Dembélé,FW,1300,1671,77.8,20825,5520,685,806,85.0,466,577,80.8,104,156,66.7
Warren Zaïre-Emery,MF,1887,2058,91.7,27586,5832,1081,1137,95.1,656,691,94.9,73,101,72.3
Désiré Doué,FW,1196,1457,82.1,17686,4198,687,756,90.9,408,498,81.9,60,111,54.1
Lucas Beraldo,DF,2137,2260,94.6,37547,13397,820,850,96.5,1149,1188,96.7,136,167,81.4
Lee Kang-in,"FW,MF",1402,1607,87.2,21847,5425,785,830,94.6,434,485,89.5,127,196,64.8
Khvicha Kvaratskhelia,FW,721,848,85.0,10023,2230,460,491,93.7,204,243,84.0,28,53,52.8
Gonçalo Ramos,FW,226,289,78.2,2702,425,152,184,82.6,54,68,79.4,3,5,60.0
Matvei Safonov,GK,287,371,77.4,7035,4595,63,63,100.0,152,152,100.0,71,153,46.4
Lucas Hernández,DF,903,988,91.4,15514,5282,344,363,94.8,511,538,95.0,33,58,56.9
Senny Mayulu,MF,419,480,87.3,6500,1070,219,242,90.5,156,169,92.3,25,29,86.2
Marco Asensio,FW,325,377,86.2,4664,902,202,218,92.7,90,104,86.5,21,29,72.4
Randal Kolo Muani,FW,69,98,70.4,985,188,40,57,70.2,22,26,84.6,3,5,60.0
Milan Škriniar,"DF,MF",361,374,96.5,6457,2316,133,136,97.8,208,213,97.7,16,20,80.0
Ibrahim Mbaye,FW,128,148,86.5,1753,259,75,83,90.4,46,53,86.8,3,4,75.0
Yoram Zague,DF,172,183,94.0,2831,596,74,78,94.9,90,94,95.7,6,7,85.7
Axel Tapé,MF,142,151,94.0,2651,619,36,37,97.3,101,105,96.2,4,6,66.7
Arnau Tenas,GK,31,32,96.9,757,538,9,9,100.0,13,13,100.0,9,10,90.0
Presnel Kimpembe,DF,37,37,100.0,697,229,9,9,100.0,25,25,100.0,2,2,100.0
Noham Kamara,DF,74,79,93.7,1308,459,26,28,92.9,41,41,100.0,5,6,83.3
