Player,Pos,Gls,Sh,SoT,SoT%,Dist,FK,PK,PKatt
Willian Pacho,DF,0,5,1,20.0,9.1,0,0,0
Achraf Hakimi,DF,7,76,30,39.5,19.9,6,0,0
Vitinha,MF,7,50,19,38.0,26.1,2,3,4
João Neves,MF,5,57,18,31.6,14.1,0,0,0
Bradley Barcola,FW,19,108,53,49.1,12.9,0,0,0
Gianluigi Donnarumma,GK,0,0,0,,,0,0,0
Nuno Mendes,DF,5,38,13,34.2,19.1,2,0,0
Marquinhos,DF,3,21,8,38.1,10.9,0,0,0
Fabián Ruiz Peña,MF,5,63,18,28.6,19.2,0,0,0
Ousmane Dembélé,FW,33,181,83,45.9,16.3,1,1,1
Warren Zaïre-Emery,MF,3,27,9,33.3,18.7,0,0,0
Désiré Doué,FW,13,108,42,38.9,17.9,0,0,0
Lucas Beraldo,DF,1,14,5,35.7,15.0,0,0,0
Lee Kang-in,"FW,MF",6,56,22,39.3,20.0,1,0,0
Khvicha Kvaratskhelia,FW,6,62,23,37.1,20.0,4,0,0
Gonçalo Ramos,FW,18,74,42,56.8,11.1,0,4,5
Matvei Safonov,GK,0,0,0,,,0,0,0
Lucas Hernández,DF,0,3,0,0.0,24.4,0,0,0
Senny Mayulu,MF,4,32,11,34.4,15.7,0,0,0
Marco Asensio,FW,2,30,14,46.7,14.6,3,0,0
Randal Kolo Muani,FW,2,22,7,31.8,11.4,0,1,1
Milan Škriniar,"DF,MF",0,3,0,0.0,10.8,0,0,0
Ibrahim Mbaye,FW,1,12,7,58.3,14.4,0,0,0
Yoram Zague,DF,0,1,1,100.0,10.3,0,0,0
Axel Tapé,MF,0,2,0,0.0,28.0,0,0,0
Arnau Tenas,GK,0,0,0,,,0,0,0
Presnel Kimpembe,DF,0,0,0,,,0,0,0
Noham Kamara,DF,0,0,0,,,0,0,0
