Player,Nation,Pos,Age,MP,Min,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PrgC,PrgP,PrgR
Willian Pacho,ec ECU,DF,23-219,50,3983.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0,87.0,3.0
Achraf Hakimi,ma MAR,DF,26-200,46,3922.0,7.0,12.0,19.0,7.0,0.0,0.0,6.0,0.0,168.0,289.0,428.0
Vitinha,pt POR,MF,25-099,50,3767.0,7.0,2.0,9.0,4.0,3.0,4.0,1.0,0.0,76.0,320.0,77.0
João Neves,pt POR,MF,20-238,50,3623.0,5.0,9.0,14.0,5.0,0.0,0.0,4.0,0.0,57.0,228.0,111.0
Bradley Barcola,fr FRA,FW,22-263,56,3541.0,19.0,16.0,35.0,19.0,0.0,0.0,4.0,0.0,196.0,120.0,546.0
Gianluigi Donnarumma,it ITA,GK,26-087,39,3471.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Nuno Mendes,pt POR,DF,22-338,44,3435.0,5.0,5.0,10.0,5.0,0.0,0.0,8.0,0.0,100.0,222.0,154.0
Marquinhos,br BRA,DF,31-009,40,3374.0,3.0,0.0,3.0,3.0,0.0,0.0,7.0,0.0,36.0,236.0,5.0
Fabián Ruiz Peña,es ESP,MF,29-050,52,3304.0,5.0,10.0,15.0,5.0,0.0,0.0,3.0,0.0,62.0,268.0,131.0
Ousmane Dembélé,fr FRA,FW,28-008,47,3127.0,33.0,11.0,44.0,32.0,1.0,1.0,3.0,1.0,211.0,218.0,382.0
Warren Zaïre-Emery,fr FRA,MF,19-076,46,2959.0,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,64.0,179.0,113.0
Désiré Doué,fr FRA,FW,19-354,52,2876.0,13.0,11.0,24.0,13.0,0.0,0.0,1.0,0.0,147.0,164.0,288.0
Lucas Beraldo,br BRA,DF,21-180,32,2423.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,10.0,137.0,0.0
Lee Kang-in,kr KOR,"FW,MF",24-093,45,2397.0,6.0,6.0,12.0,6.0,0.0,0.0,1.0,0.0,69.0,182.0,194.0
Khvicha Kvaratskhelia,ge GEO,FW,24-100,24,1717.0,6.0,5.0,11.0,6.0,0.0,0.0,1.0,0.0,97.0,68.0,189.0
Gonçalo Ramos,pt POR,FW,23-337,39,1648.0,18.0,6.0,24.0,14.0,4.0,5.0,2.0,0.0,14.0,26.0,68.0
Matvei Safonov,ru RUS,GK,26-087,16,1449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Hernández,fr FRA,DF,29-098,23,1178.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,57.0,5.0
Senny Mayulu,fr FRA,MF,19-006,27,1056.0,4.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,30.0,47.0,58.0
Marco Asensio,es ESP,FW,29-122,16,753.0,2.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,22.0,38.0,56.0
Randal Kolo Muani,fr FRA,FW,26-169,14,465.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,10.0,9.0,48.0
Milan Škriniar,sk SVK,"DF,MF",30-101,5,382.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,20.0,0.0
Ibrahim Mbaye,fr FRA,FW,17-119,10,354.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,9.0,54.0
Yoram Zague,fr FRA,DF,19-008,6,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,17.0
Axel Tapé,fr FRA,MF,17-286,3,251.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0
Arnau Tenas,es ESP,GK,23-358,2,180.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Presnel Kimpembe,fr FRA,DF,29-283,5,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Noham Kamara,fr FRA,DF,18-121,2,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0
Louis Mouquet,pt POR,GK,20-306,0,,,,,,,,,,,,
Naoufel El Hannach,ma MAR,DF,18-167,0,,,,,,,,,,,,
Carlos Soler,es ESP,MF,28-141,0,,,,,,,,,,,,
Quentin Ndjantou Mbitcha,fr FRA,FW,17-304,0,,,,,,,,,,,,
Wassim Slama,fr FRA,MF,16-239,0,,,,,,,,,,,,
